Id,SalePrice
1461,118367.266
1462,157389.36
1463,200663.58
1464,197742.5
1465,180433.5
1466,172906.58
1467,181577.03
1468,166424.81
1469,173694.9
1470,124771.29
1471,202250.58
1472,99034.44
1473,100720.29
1474,148094.53
1475,115344.5
1476,400124.9
1477,258489.98
1478,305142.38
1479,250079.72
1480,556727.3
1481,334839.03
1482,206521.0
1483,185134.77
1484,172281.67
1485,176439.0
1486,195388.08
1487,331362.78
1488,222845.86
1489,197956.27
1490,247561.31
1491,192219.56
1492,85563.016
1493,181914.17
1494,305885.6
1495,277215.16
1496,255391.05
1497,180606.77
1498,168699.39
1499,166368.27
1500,170606.12
1501,188060.4
1502,138733.22
1503,325947.56
1504,238330.44
1505,225571.0
1506,189812.27
1507,251101.69
1508,198701.17
1509,168587.81
1510,148183.78
1511,147618.02
1512,171210.58
1513,145057.8
1514,174259.8
1515,201852.8
1516,151259.64
1517,166116.06
1518,127665.87
1519,232510.52
1520,141684.03
1521,147164.6
1522,167490.7
1523,124306.04
1524,128722.625
1525,120378.69
1526,113352.85
1527,106029.17
1528,137732.03
1529,161274.77
1530,147305.52
1531,98435.44
1532,93934.0
1533,139294.67
1534,121233.72
1535,178138.56
1536,109572.08
1537,74469.67
1538,157896.61
1539,199262.69
1540,115173.3
1541,145574.19
1542,146508.84
1543,212099.94
1544,77039.234
1545,115341.93
1546,124880.68
1547,131921.22
1548,133042.86
1549,110103.555
1550,140406.84
1551,104527.4
1552,152045.38
1553,163675.86
1554,122589.28
1555,170542.33
1556,74620.945
1557,120685.4
1558,97952.484
1559,103688.055
1560,122140.79
1561,148505.61
1562,125599.664
1563,119801.76
1564,149290.89
1565,136618.17
1566,214410.4
1567,74654.625
1568,222939.62
1569,153662.45
1570,130906.87
1571,117895.305
1572,153112.5
1573,229556.31
1574,121818.734
1575,224077.23
1576,231631.12
1577,189900.47
1578,141871.08
1579,153174.42
1580,192767.11
1581,152804.97
1582,127982.13
1583,313029.62
1584,233743.72
1585,142188.98
1586,69087.81
1587,106116.766
1588,158835.58
1589,102336.875
1590,131332.1
1591,94666.414
1592,129989.47
1593,120470.36
1594,154189.38
1595,139470.06
1596,237451.58
1597,199601.9
1598,202568.19
1599,156434.08
1600,166195.69
1601,81073.12
1602,112172.36
1603,77804.836
1604,266503.28
1605,240001.98
1606,168025.84
1607,163343.05
1608,215075.53
1609,189879.66
1610,178399.0
1611,124155.734
1612,178525.56
1613,175146.45
1614,129645.484
1615,86684.21
1616,73554.21
1617,93892.2
1618,125858.336
1619,146089.78
1620,194137.06
1621,152048.77
1622,138504.22
1623,275543.03
1624,230158.77
1625,114782.64
1626,141153.92
1627,186647.83
1628,278686.3
1629,194645.52
1630,375187.22
1631,220127.7
1632,224960.55
1633,172413.39
1634,192489.42
1635,175253.33
1636,152980.95
1637,203170.78
1638,184866.94
1639,183989.17
1640,240326.9
1641,180141.6
1642,247751.83
1643,227989.34
1644,236312.14
1645,195762.05
1646,161999.4
1647,147174.25
1648,133020.8
1649,146075.78
1650,117210.85
1651,122408.56
1652,95187.125
1653,96459.57
1654,147740.72
1655,140315.17
1656,145567.3
1657,154631.0
1658,135622.86
1659,120149.12
1660,152647.08
1661,482248.25
1662,405438.06
1663,389558.1
1664,513060.97
1665,326103.94
1666,340962.34
1667,401630.22
1668,342724.44
